Global_ID,S.No,Report Year,Incident Number,Grade Crossing ID,Date,AM/PM,Time,County Code,County Name,State Code,State Name,Highway User,Vehicle Direction Code,Vehicle Direction,Highway User Position Code,Highway User Position,Second Highway User,Second Vehicle Direction Code,Second Vehicle Direction,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Track Type Code,Track Type,Crossing Warning Expanded 1,Crossing Warning Expanded 2,Crossing Warning Expanded 3,Crossing Warning Expanded 4,Crossing Warning Expanded 5,Crossing Warning Expanded 6,Crossing Warning Expanded 7,Roadway Condition,Crossing Warning Location Code,Crossing Warning Location,User Age,User Sex,Highway User Action Code,Highway User Action,Estimated Vehicle Speed,Train Speed,Estimated/Recorded Speed,Vehicle Damage Cost,Narrative,Total Killed Form 57,Total Injured Form 57
5086,5086,2013,2013000008,869789S,2013-02-21,AM,02:35 AM,201.0,HARRIS,48.0,TEXAS,Truck-trailer,2,South,2.0,Stopped on crossing,,,,60.0,4.0,Dark,1.0,Clear,1.0,Main,Crossbucks,,,,,,,Dry,1,Both sides,30.0,Male,4.0,Stopped on crossing,0.0,12.0,,30000.0,"WHILE SHOVING 14 CARS TO SPOT VANTAGE ON THE WEST MAIN FROM NOYD, PT360 HIT A TRACTOR TRAILER AT THESAND CROSSING.  THERE WERE NO INJURIES TO OUR CREW AND THE DRIVER COMPLAINED OF SORENESS BUT WAS  NOT TREATED.  BASED ON THE STATEMENT OF OUR CREW AND THE ONE  WITNESS THE DRIVER DID NOT SEE US COMING UNTIL IT WAS TOO LATE TO MOVE OUT OF THE WAY.  THE DRIVER STOPPED ON THE CROSSING IN FRONT OF THECREW WAS RIDING THE SHOVE WHEN THE INCIDENT OCCURRED.  HE ATTEMPTED TO STOP THE TRAIN AND WARN THE D",0,0
5087,5087,2014,RV14004,432632B,2014-02-06,PM,01:30 PM,215.0,HIDALGO,48.0,TEXAS,Auto,4,West,2.0,Stopped on crossing,,,,40.0,2.0,Day,2.0,Cloudy,1.0,Main,Crossbucks,,,,,,,Dry,1,Both sides,29.0,Male,4.0,Stopped on crossing,0.0,10.0,,2000.0,TRAIN TRAVELING WEST LONG NOSE ON MISSION LINE WHEN A CAR WAS TRYING TO BEAT TRAIN. CAR WAS NOT ABLETO CROSS AND WAS STRUCK BY THE LOCOMOTIVE ON THE CONDUCTOR SIDE REAR OF LOCOMOTIVE. NO DAMAGE TO LOCOMOTIVE AND NO INJURIES WERE REPORTED BY BOTH PARTIES. CASE #14-2789 ASSIGNED TO INCIDENT.,0,0
5088,5088,2014,KS0414203,017264W,2014-04-17,PM,06:50 PM,189.0,HALE,48.0,TEXAS,Auto,3,East,1.0,Stalled or stuck on crossing,,,,52.0,3.0,Dusk,1.0,Clear,1.0,Main,Gates,Standard FLS,,,,,,Dry,1,Both sides,25.0,Male,5.0,Other,0.0,19.0,,2000.0,41: UNOCCUPIED VEHICLE,0,0
5089,5089,2014,062514,764994E,2014-06-25,PM,12:26 PM,29.0,BEXAR,48.0,TEXAS,Auto,4,West,3.0,Moving over crossing,,,,75.0,2.0,Day,2.0,Cloudy,2.0,Yard,Gates,,,,,,,Dry,2,Side of vehicle approach,55.0,Male,7.0,Went thru the gate,10.0,6.0,,3000.0,"ENGINEER WAS APPROACHING HIGHWAY CROSSING WITH TWO LOCOMOTIVES AND 130 RAIL CARS. THE RAILROAD CROSSING ARMS CAME DOWN AND A CAR WAS STOPPED IN ONE LANE OF THE CROSSING WAITING FOR THE TRAINS ARRIVAL.AS THE ENGINEER MADE IT HALF WAY THROUGH THE CROSSING A VEHICLE RAN DIRECTLY THROUGH THE CROSSING ARM AND STRUCK THE LEAD LOCOMOTIVE OF THE TRAIN, ON THE CONDUCTOR SIDE.",0,0
5090,5090,2014,GC0514203,022906T,2014-05-29,PM,10:50 PM,331.0,MILAM,48.0,TEXAS,Pick-up truck,1,North,1.0,Stalled or stuck on crossing,,,,90.0,4.0,Dark,1.0,Clear,1.0,Main,Gates,Audible,,,,,,Dry,1,Both sides,27.0,Female,5.0,Other,0.0,30.0,,2000.0,41: UNOCCUPIED VEHICLE,0,0
5091,5091,2014,GC0514204,022910H,2014-05-24,AM,08:51 AM,331.0,MILAM,48.0,TEXAS,Auto,4,West,3.0,Moving over crossing,,,,80.0,1.0,Dawn,1.0,Clear,1.0,Main,Crossbucks,,,,,,,Dry,3,Opposite side of vehicle approach,44.0,Male,3.0,Did not stop,10.0,50.0,,1000.0,,0,1
5092,5092,2013,0213FW002,924395C,2013-02-01,PM,03:00 PM,439.0,TARRANT,48.0,TEXAS,Auto,1,North,3.0,Moving over crossing,,,,77.0,2.0,Day,1.0,Clear,2.0,Yard,Crossbucks,,,,,,,Dry,1,Both sides,49.0,Male,3.0,Did not stop,3.0,7.0,,100.0,HIGHWAY USER'S ACTIONS:  DID NOT STOP.,0,0
5093,5093,2013,0213FW005,796170T,2013-02-08,AM,12:35 AM,227.0,HOWARD,48.0,TEXAS,Pick-up truck,3,East,2.0,Stopped on crossing,,,,40.0,4.0,Dark,1.0,Clear,1.0,Main,,,,,,,,Dry,,,46.0,Male,4.0,Stopped on crossing,0.0,43.0,,10000.0,HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (BEFORE GATES DESCENDED).,0,0
5094,5094,2013,0213HO001,762754R,2013-02-01,PM,05:17 PM,291.0,LIBERTY,48.0,TEXAS,Pick-up truck,1,North,3.0,Moving over crossing,,,,69.0,3.0,Dusk,1.0,Clear,1.0,Main,Crossbucks,,,,,,,Dry,1,Both sides,45.0,Male,3.0,Did not stop,5.0,33.0,,1000.0,HIGHWAY USER'S ACTIONS:  DID NOT STOP.,0,1
5095,5095,2013,0213HO010,426594F,2013-02-09,PM,12:03 PM,73.0,CHEROKEE,48.0,TEXAS,Truck-trailer,3,East,1.0,Stalled or stuck on crossing,,,,62.0,2.0,Day,2.0,Cloudy,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,50.0,Male,4.0,Stopped on crossing,0.0,20.0,,20000.0,HIGHWAY USER'S ACTIONS:  STOPPED ON CROSSING (BEFORE GATES DESCENDED).,0,0
